ATK-DMF407电机开发板接口和外设分配表,,,,,
"说明：
1，ATK-DMF407电机开发板IO资源分配，重要接口按照不同的颜色予以区分（和原理图同步），用户可根据颜色快速方便查找对应的接口：
  直流有/无刷驱动板1接口相关IO使用橙色表示； 直流有/无刷驱动板2接口相关IO使用青色表示；
  4路步进电机驱动器接口相关IO使用粉色表示；  3路舵机IO使用淡紫色表示；
  LCD屏幕相关IO使用蓝色表示；  网络PHY LAN8720A相关IO使用紫罗兰色表示；
2，作为一款电机开发板，我们在尽可能多的引出电机控制接口和外设功能的情况下，尽可能少的减少IO复用，IO复用仅有3处：
  PA4,PA5:通过JP5选择用作ADC、DAC、通用IO
  PD5:可用作LCD的FSMC_NWE、HMI串口屏的TX(USART2_TX)
  PI5~7(TIM8_CH1~3):可用作直流有/无刷驱动板2上桥PWM信号、步进电机驱动器（ST1~3）脉冲信号、舵机（SERVO1~3）脉冲信号",,,,,
引脚编号,GPIO,连接资源,,完全独立,连接关系说明
40,PA0,ADC1_IN0,PM1_VTEMP,Y,直流有/无刷驱动板1-温度采集
41,PA1,RMII_REF_CLK,,Y,LAN8720A的REFCLKO
42,PA2,ETH_MDIO,,Y,LAN8720A的MDIO
47,PA3,ADC2_IN3,PM1_AMPW,Y,直流有/无刷驱动板1-W相电流采集
50,PA4,"DAC_OUT1
ADC2_IN4",PM2_AMPW,N,"1,DAC输出1
2,直流有/无刷驱动板2-W相电流采集"
51,PA5,"DAC_OUT2
ADC1_IN5",PM2_VBUS,N,"1,DAC输出2
2,直流有/无刷驱动板2-电源电压采集"
52,PA6,ADC12_IN6,PM1_AMPV,Y,直流有/无刷驱动板1-V相电流采集
53,PA7,RMII_CRS_DV,,Y,接LAN8720的CRS_DV脚
119,PA8,TIM1_CH1,PM1_PWM_UH,Y,直流有/无刷驱动板1-U相上桥PWM信号
120,PA9,TIM1_CH2,PM1_PWM_VH,Y,直流有/无刷驱动板1-V相上桥PWM信号
121,PA10,TIM1_CH3,PM1_PWM_WH,Y,直流有/无刷驱动板1-W相上桥PWM信号
122,PA11,USB_D-,,Y,USB主从机 D-引脚
123,PA12,USB_D+,,Y,USB主从机 D+引脚
124,PA13,SWDIO,,Y,SWD接口数据引脚
137,PA14,SWDCLK,,Y,SWD接口时钟引脚
138,PA15,TIM2_CH1,PM2_ENCA,Y,直流有/无刷驱动板2-编码器A相
56,PB0,ADC1_IN8,PM1_AMPU,Y,直流有/无刷驱动板1-U相电流采集
57,PB1,ADC1_IN9,PM1_VBUS,Y,直流有/无刷驱动板1-电源电压采集
58,PB2,BOOT1,ST3_DIR,Y,步进电机驱动器3-方向信号
161,PB3,TIM2_CH2,PM2_ENCB,Y,直流有/无刷驱动板2-编码器B相
162,PB4,SPI1_MISO,OUTPUT1,Y,通用输出接口1
163,PB5,SPI1_MOSI,OUTPUT2,Y,通用输出接口2
164,PB6,USART1_TXD,,Y,串口1-TX脚，默认连接CH340的RX(JP7设置)
165,PB7,USART1_RXD,,Y,串口1-RX脚，默认连接CH340的TX(JP7设置)
167,PB8,TIM4_CH3,PM2_HALLW,Y,直流有/无刷驱动板2-霍尔传感器W相
168,PB9,CAN1_TX,,Y,CAN芯片TXD引脚
79,PB10,USART3_TXD,RS485_RX,Y,RS485芯片DI脚
80,PB11,USART3_RXD,RS485_TX,Y,RS485芯片RO脚
92,PB12,TIM1_BKIN,TIM1_BKIN,Y,直流有/无刷驱动板1-刹车信号
93,PB13,TIM1_CH1N,PM1_PWM_UL,Y,直流有/无刷驱动板1-U相下桥PWM信号
94,PB14,TIM1_CH2N,PM1_PWM_VL,Y,直流有/无刷驱动板1-V相下桥PWM信号
95,PB15,TIM1_CH3N,PM1_PWM_WL,Y,直流有/无刷驱动板1-W相下桥PWM信号
32,PC0,ADC1_IN10,PM2_VTEMP,Y,直流有/无刷驱动板2-温度采集
33,PC1,ETH_MDC,,Y,LAN8720A的MDC
34,PC2,ADC1_IN12,PM2_AMPU,Y,直流有/无刷驱动板2-U相电流采集
35,PC3,ADC12_IN13,PM2_AMPV,Y,直流有/无刷驱动板2-V相电流采集
54,PC4,RMII_RXD0,,Y,LAN8720A的RXD0
55,PC5,RMII_RXD1,,Y,LAN8720A的RXD1
115,PC6,TIM3_CH1,PM1_ENCA,Y,直流有/无刷驱动板1-编码器A相
116,PC7,TIM3_CH2,PM1_ENCB,Y,直流有/无刷驱动板1-编码器B相
117,PC8,,INPUT8,Y,通用输入接口8
118,PC9,TIM8_CH4,ST4_PUL,Y,步进电机驱动器4-脉冲信号
139,PC10,UART4_TXD,,Y,ATK-MODLE接口(CN19)TXD脚
140,PC11,UART4_RXD,,Y,ATK-MODLE接口(CN19)RXD脚
141,PC12,UART5_TXD,RS232_RX,Y,RS232芯片信号接收脚
8,PC13,,OUTPUT4,Y,通用输出接口4
9,PC14,OSC32_IN,,Y,"接32.768K无源晶振,不可用作IO"
10,PC15,OSC32_OUT,,Y,"接32.768K无源晶振,不可用作IO"
142,PD0,FSMC_D2,,Y,FSMC总线数据线D2
143,PD1,FSMC_D3,,Y,FSMC总线数据线D3
144,PD2,UART5_RXD,RS232_TX,Y,RS232芯片信号发送脚
145,PD3,,INPUT9,Y,通用输入接口9
146,PD4,FSMC_NOE,,Y,FSMC总线NOE(RD)
147,PD5,"FSMC_NWE
USART2_TXD",HMI_TX,N,"1,FSMC总线NWE(WR)
2,HMI串口屏-TX"
150,PD6,USART2_RXD,HMI_RX,Y,HMI串口屏-RX
151,PD7,,INPUT10,Y,通用输入接口10
96,PD8,FSMC_D13,,Y,FSMC总线数据线D13
97,PD9,FSMC_D14,,Y,FSMC总线数据线D14
98,PD10,FSMC_D15,,Y,FSMC总线数据线D15
99,PD11,,T_MISO,Y,TFTLCD接口触摸屏MISO信号
100,PD12,TIM4_CH1,PM2_HALLU,Y,直流有/无刷驱动板2-霍尔传感器U相
101,PD13,TIM4_CH2,PM2_HALLV,Y,直流有/无刷驱动板2-霍尔传感器V相
104,PD14,FSMC_D0,,Y,FSMC总线数据线D0
105,PD15,FSMC_D1,,Y,FSMC总线数据线D1
169,PE0,,LED0,Y,LED灯DS0(红色)
170,PE1,,LED1,Y,LED灯DS1(绿色)
1,PE2,,KEY0,Y,按键KEY0
2,PE3,,KEY1,Y,按键KEY1
3,PE4,,KEY2,Y,按键KEY2
4,PE5,TIM9_CH1,PM2_ENCZ,Y,直流有/无刷驱动板2-编码器Z相
5,PE6,TIM9_CH2,PM1_ENCZ,Y,直流有/无刷驱动板1-编码器Z相
68,PE7,FSMC_D4,,Y,FSMC总线数据线D4
69,PE8,FSMC_D5,,Y,FSMC总线数据线D5
70,PE9,FSMC_D6,,Y,FSMC总线数据线D6
73,PE10,FSMC_D7,,Y,FSMC总线数据线D7
74,PE11,FSMC_D8,,Y,FSMC总线数据线D8
75,PE12,FSMC_D9,,Y,FSMC总线数据线D9
76,PE13,FSMC_D10,,Y,FSMC总线数据线D10
77,PE14,FSMC_D11,,Y,FSMC总线数据线D11
78,PE15,FSMC_D12,,Y,FSMC总线数据线D12
16,PF0,,BEEP,Y,有源蜂鸣器控制脚
17,PF1,,OUTPUT3,Y,通用输出接口3
18,PF2,,PM2_CTRL_SD,Y,直流有/无刷驱动板2-停机控制信号
19,PF3,ADC3_IN9,EX_NTC,Y,扩展NTC采集接口
20,PF4,ADC3_IN14,PM2_BEMFW,Y,直流有/无刷驱动板2-W相反向电动势采集
21,PF5,ADC3_IN15,PM2_BEMFV,Y,直流有/无刷驱动板2-V相反向电动势采集
24,PF6,ADC3_IN4,PM2_BEMFU,Y,直流有/无刷驱动板2-U相反向电动势采集
25,PF7,ADC3_IN5,PM1_BEMFW,Y,直流有/无刷驱动板1-W相反向电动势采集
26,PF8,ADC3_IN6,PM1_BEMFV,Y,直流有/无刷驱动板1-V相反向电动势采集
27,PF9,ADC3_IN7,PM1_BEMFU,Y,直流有/无刷驱动板1-U相反向电动势采集
28,PF10,ADC3_IN8,PM1_CTRL_SD,Y,直流有/无刷驱动板1-停机控制信号
59,PF11,,ST3_EN,Y,步进电机驱动器3-使能信号
